id,lat,lon,demand,windowStartSeconds,windowEndSeconds
PKG-01,43.7285,7.4175,25,28800,50400
PKG-02,43.7298,7.4190,30,28800,50400
PKG-03,43.7275,7.4160,20,32400,54000
PKG-04,43.7310,7.4185,35,28800,64800
PKG-05,43.7325,7.4170,25,28800,50400
PKG-06,43.7305,7.4225,30,28800,43200
PKG-07,43.7315,7.4240,25,28800,50400
PKG-08,43.7300,7.4255,20,32400,61200
PKG-09,43.7290,7.4235,35,28800,50400
PKG-10,43.7340,7.4205,30,28800,64800
PKG-11,43.7355,7.4215,25,28800,50400
PKG-12,43.7365,7.4195,30,32400,57600
PKG-13,43.7335,7.4180,20,28800,50400
PKG-14,43.7350,7.4165,35,28800,64800
PKG-15,43.7380,7.4230,25,28800,50400
PKG-16,43.7395,7.4250,30,32400,61200
PKG-17,43.7410,7.4270,35,28800,50400
PKG-18,43.7425,7.4290,20,28800,43200
PKG-19,43.7440,7.4310,30,28800,64800
PKG-20,43.7370,7.4260,25,28800,50400
PKG-21,43.7360,7.4140,30,28800,50400
PKG-22,43.7345,7.4130,20,32400,54000
PKG-23,43.7385,7.4160,35,28800,64800
PKG-24,43.7400,7.4175,25,28800,50400
